City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
256,Manzanillo,CU,72.75,few clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
257,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
258,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
259,Guayaramerin,BO,71.64,overcast clouds,-10.8368,-65.3614,Hostal Funf
260,Carutapera,BR,75.58,overcast clouds,-1.195,-46.02,Lidera
261,Dalby,AU,80.24,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
262,Rock Sound,BS,75.2,clear sky,24.9,-76.2,Pink Corral Bay Property
263,Hobyo,SO,79.57,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
264,Manoharpur,IN,76.15,clear sky,27.3,75.95,कैथल हरियाणा होटल
265,Sesheke,ZM,71.37,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
266,Boyolangu,ID,85.03,broken clouds,-8.1181,111.8935,Yos ega cv
267,Charagua,BO,67.15,overcast clouds,-19.8,-63.2167,Hotel
268,Ballitoville,ZA,70.16,light intensity drizzle rain,-29.539,31.2144,Hampshire Hotel-Ballito
269,Monrovia,LR,78.28,light rain,6.3005,-10.7969,Sunset Inn
270,Arawa,PG,84.27,light rain,-6.2132,155.5367,Coastline Guest House
271,Camopi,GF,70.9,overcast clouds,3.1655,-52.3158,La pousada
272,Hualmay,PE,70.43,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
